id,text,country
147,The design is bad and it failed after a single use. Definitely do not recommend it.,Italy
148,"I thought it was good, but the quality is terrible. Do not recommend it at all.",Italy
149,"The suitcase is very firm, although a bit small. The wheels work perfectly and it is very functional.",Germany
150,"I am very satisfied with this suitcase. It is solid, functional and meets all my expectations.",Germany
151,The suitcase destroyed on the first use. The finish is very terrible and I do not discourage it at all.,USA
152,I bought this suitcase and it destroyed quickly. The finish is really horrible.,USA
153,I bought this suitcase and it broke quickly. The finish is really deficient.,UK
154,The suitcase failed on the first use. The design is very horrible and I do not discourage it at all.,UK
155,It is very was pleased with and resistant for traveling. Without a doubt the practical I have made.,Germany
156,"I thought it was good, but the finish is terrible. Do not propose it at all.",Spain
157,"The construction of this suitcase is acceptable. Not great, but not bad either.",UK
158,The design is deficient and it destroyed after a single use. Definitely do not not recommend it.,France
159,"The suitcase is very robust, although a bit small. The wheels work perfectly and it is very convenient.",Italy
160,I have no strong feelings about this suitcase. It is just awful.,France
161,"It is a standard suitcase with quality. Nothing exceptional, but it gets the job done.",Italy
162,"I am very satisfied with this suitcase. It is robust, versatile and meets all my expectations.",USA
163,I bought it for my son and he was fascinated by. It is really manageable and strong.,Spain
164,It is very really liked and strong for traveling. Without a doubt the useful I have made.,France
165,"It is neither disastrous nor finish, just an average suitcase.",Spain
166,"It is neither bad nor fabrication, just an average suitcase.",Italy
167,The design is bad and it broke after a single use. Definitely do not suggest it.,Germany
168,I am not very satisfied with the suitcase. It is fabrication but does not meet the cabin size requirements I need.,Spain
169,The quality of the product is terrible. I do not discourage it at all.,Germany
170,I have no strong feelings about this suitcase. It is just bad.,Italy
171,The suitcase destroyed on the first use. The quality is very horrible and I do not advise it at all.,USA
172,"The suitcase is very solid, although a bit small. The wheels work perfectly and it is very versatile.",Spain
173,I have no strong feelings about this suitcase. It is just terrible.,USA
174,"It is neither awful nor fabrication, just an average suitcase.",France
175,The suitcase is average in terms of design. It works as expected.,Italy
176,I bought it for my son and he really liked. It is really manageable and solid.,USA
177,"It is a standard suitcase with construction. Nothing exceptional, but it gets the job done.",Italy
178,I am not very satisfied with the suitcase. It is material but does not meet the cabin size requirements I need.,Italy
179,"Although I don't like the color, it is very practical and I am happy with the practical.",Germany
180,"It is neither awful nor design, just an average suitcase.",France
181,"The fabrication of this suitcase is acceptable. Not great, but not bad either.",Germany
182,The design is disastrous and it spoiled after a single use. Definitely do not suggest it.,France
183,I bought it for my son and he was delighted with. It is really manageable and robust.,USA
184,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,UK
185,It is very enjoyed and resistant for traveling. Without a doubt the useful I have made.,France
186,"I am very satisfied with this suitcase. It is resistant, useful and meets all my expectations.",France
187,I am not very satisfied with the suitcase. It is finish but does not meet the cabin size requirements I need.,USA
188,The construction of the product is awful. I do not not recommend it at all.,Italy
189,"It is a standard suitcase with quality. Nothing exceptional, but it gets the job done.",Germany
190,I bought it for my son and he really liked. It is really versatile and solid.,Italy
191,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,USA
192,I have no strong feelings about this suitcase. It is just bad.,USA
193,"It is a standard suitcase with finish. Nothing exceptional, but it gets the job done.",USA
194,The suitcase is strong and very practical. I would buy it again without hesitation.,Spain
195,The design is disastrous and it ruined after a single use. Definitely do not suggest it.,France
196,The suitcase is average in terms of material. It works as expected.,Italy
197,The suitcase is average in terms of construction. It works as expected.,USA
198,The suitcase is average in terms of finish. It works as expected.,Spain
199,It is very enjoyed and strong for traveling. Without a doubt the functional I have made.,USA
200,It is very loved and solid for traveling. Without a doubt the practical I have made.,France
201,The suitcase is average in terms of construction. It works as expected.,Spain
202,"The suitcase is very firm, although a bit small. The wheels work perfectly and it is very convenient.",France
203,"I am very satisfied with this suitcase. It is firm, versatile and meets all my expectations.",Spain
204,The suitcase failed on the first use. The construction is very horrible and I do not not recommend it at all.,Italy
205,I bought this suitcase and it disassembled quickly. The quality is really awful.,Germany
206,The suitcase disassembled on the first use. The construction is very horrible and I do not propose it at all.,UK
207,The suitcase failed on the first use. The construction is very deficient and I do not discourage it at all.,Spain
208,"The suitcase is very resistant, although a bit small. The wheels work perfectly and it is very practical.",Italy
209,"I thought it was good, but the finish is deficient. Do not recommend it at all.",Spain
210,I bought this suitcase and it ruined quickly. The material is really disastrous.,UK
211,The suitcase is average in terms of quality. It works as expected.,UK
212,"I am very satisfied with this suitcase. It is durable, useful and meets all my expectations.",USA
213,The material of the product is deficient. I do not discourage it at all.,Spain
214,"I thought it was good, but the construction is horrible. Do not recommend it at all.",Italy
215,The suitcase is resistant and very versatile. I would buy it again without hesitation.,France
216,The suitcase is average in terms of construction. It works as expected.,Germany
217,I bought this suitcase and it destroyed quickly. The construction is really disastrous.,Germany
218,"It is a standard suitcase with construction. Nothing exceptional, but it gets the job done.",Germany
219,"It is a standard suitcase with material. Nothing exceptional, but it gets the job done.",Germany
220,I am not very satisfied with the suitcase. It is material but does not meet the cabin size requirements I need.,Spain
221,The finish of the product is deficient. I do not suggest it at all.,Spain
222,"It is neither terrible nor design, just an average suitcase.",Italy
223,The design of the product is terrible. I do not not recommend it at all.,France
224,The suitcase is strong and very versatile. I would buy it again without hesitation.,France
225,I bought this suitcase and it disassembled quickly. The construction is really deficient.,Spain
226,The quality of the product is deficient. I do not recommend it at all.,Germany
227,"It is neither horrible nor fabrication, just an average suitcase.",France
228,The fabrication of the product is horrible. I do not not recommend it at all.,USA
229,It is very enjoyed and durable for traveling. Without a doubt the functional I have made.,France
230,I have no strong feelings about this suitcase. It is just disastrous.,Italy
231,I bought it for my son and he was fascinated by. It is really manageable and solid.,Germany
232,"The suitcase is very durable, although a bit small. The wheels work perfectly and it is very convenient.",France
233,The quality of the product is disastrous. I do not advise it at all.,France
234,"It is a standard suitcase with design. Nothing exceptional, but it gets the job done.",Spain
235,The suitcase broke on the first use. The fabrication is very bad and I do not recommend it at all.,Italy
236,The finish of the product is bad. I do not not recommend it at all.,Spain
237,"I am very satisfied with this suitcase. It is strong, convenient and meets all my expectations.",Germany
238,I bought it for my son and he really liked. It is really useful and firm.,Italy
239,The suitcase is average in terms of finish. It works as expected.,Germany
240,"It is neither bad nor fabrication, just an average suitcase.",Germany
241,I have no strong feelings about this suitcase. It is just terrible.,Spain
242,The design of the product is awful. I do not discourage it at all.,Italy
243,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,Spain
244,The suitcase is resistant and very manageable. I would buy it again without hesitation.,Germany
245,I am not very satisfied with the suitcase. It is finish but does not meet the cabin size requirements I need.,Germany
246,It is very was delighted with and strong for traveling. Without a doubt the versatile I have made.,Germany
247,The suitcase is average in terms of material. It works as expected.,UK
248,"It is neither deficient nor fabrication, just an average suitcase.",France
249,"The fabrication of this suitcase is acceptable. Not great, but not bad either.",UK
250,The design of the product is bad. I do not propose it at all.,France
251,The suitcase ruined on the first use. The design is very bad and I do not recommend it at all.,UK
252,"It is neither bad nor design, just an average suitcase.",Spain
253,I bought it for my son and he enjoyed. It is really functional and solid.,UK
254,It is very was fascinated by and robust for traveling. Without a doubt the manageable I have made.,Italy
255,The suitcase is average in terms of quality. It works as expected.,Italy
256,"The suitcase is very strong, although a bit small. The wheels work perfectly and it is very useful.",Germany
257,I bought it for my son and he really liked. It is really manageable and robust.,Spain
258,The design is horrible and it destroyed after a single use. Definitely do not discourage it.,USA
259,The suitcase is average in terms of finish. It works as expected.,USA
260,"It is neither terrible nor material, just an average suitcase.",Germany
261,"I thought it was good, but the material is terrible. Do not suggest it at all.",UK
262,"Although I don't like the color, it is very functional and I am happy with the functional.",Germany
263,The design is disastrous and it destroyed after a single use. Definitely do not propose it.,Italy
264,I bought it for my son and he enjoyed. It is really functional and solid.,Germany
265,It is very loved and firm for traveling. Without a doubt the practical I have made.,Italy
266,The suitcase failed on the first use. The design is very deficient and I do not advise it at all.,Spain
267,"It is a standard suitcase with fabrication. Nothing exceptional, but it gets the job done.",USA
268,The suitcase is average in terms of finish. It works as expected.,UK
269,I am not very satisfied with the suitcase. It is material but does not meet the cabin size requirements I need.,Spain
270,"It is a standard suitcase with design. Nothing exceptional, but it gets the job done.",France
271,"Although I don't like the color, it is very functional and I am happy with the functional.",Italy
272,"It is neither bad nor quality, just an average suitcase.",Germany
273,"The finish of this suitcase is acceptable. Not great, but not bad either.",Spain
274,"I thought it was good, but the design is horrible. Do not recommend it at all.",Spain
275,I am not very satisfied with the suitcase. It is fabrication but does not meet the cabin size requirements I need.,Germany
276,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,UK
277,I have no strong feelings about this suitcase. It is just horrible.,Italy
278,I bought this suitcase and it broke quickly. The finish is really horrible.,France
279,The suitcase spoiled on the first use. The construction is very horrible and I do not recommend it at all.,Italy
280,The construction of the product is horrible. I do not propose it at all.,UK
281,"Although I don't like the color, it is very practical and I am happy with the practical.",Spain
282,"It is a standard suitcase with finish. Nothing exceptional, but it gets the job done.",Italy
283,"It is neither deficient nor construction, just an average suitcase.",UK
284,"I thought it was good, but the quality is bad. Do not suggest it at all.",France
285,"The design of this suitcase is acceptable. Not great, but not bad either.",France
286,I have no strong feelings about this suitcase. It is just disastrous.,UK
287,The suitcase ruined on the first use. The design is very terrible and I do not discourage it at all.,Spain
288,"I am very satisfied with this suitcase. It is durable, practical and meets all my expectations.",Spain
289,"The suitcase is very strong, although a bit small. The wheels work perfectly and it is very functional.",Spain
290,It is very enjoyed and firm for traveling. Without a doubt the practical I have made.,UK
291,I bought this suitcase and it spoiled quickly. The fabrication is really terrible.,UK
292,The suitcase is average in terms of design. It works as expected.,Germany
293,The design of the product is bad. I do not discourage it at all.,France
294,The quality of the product is disastrous. I do not advise it at all.,Italy
295,The finish of the product is horrible. I do not not recommend it at all.,France
296,"It is a standard suitcase with finish. Nothing exceptional, but it gets the job done.",UK
297,I am not very satisfied with the suitcase. It is material but does not meet the cabin size requirements I need.,Spain
298,I am not very satisfied with the suitcase. It is quality but does not meet the cabin size requirements I need.,France
299,The finish of the product is horrible. I do not recommend it at all.,France
300,"The suitcase is very firm, although a bit small. The wheels work perfectly and it is very functional.",Italy
301,It is very enjoyed and strong for traveling. Without a doubt the convenient I have made.,USA
302,The suitcase is average in terms of material. It works as expected.,Italy
303,"I thought it was good, but the construction is deficient. Do not discourage it at all.",USA
304,I have no strong feelings about this suitcase. It is just terrible.,Germany
305,The design is horrible and it failed after a single use. Definitely do not recommend it.,France
306,I am not very satisfied with the suitcase. It is fabrication but does not meet the cabin size requirements I need.,Germany
307,"It is a standard suitcase with finish. Nothing exceptional, but it gets the job done.",UK
308,"The finish of this suitcase is acceptable. Not great, but not bad either.",USA
309,The suitcase is average in terms of quality. It works as expected.,UK
310,It is very was fascinated by and resistant for traveling. Without a doubt the functional I have made.,France
311,I have no strong feelings about this suitcase. It is just bad.,USA
312,The suitcase is solid and very functional. I would buy it again without hesitation.,UK
313,"The quality of this suitcase is acceptable. Not great, but not bad either.",Spain
314,I bought it for my son and he was delighted with. It is really practical and resistant.,USA
315,"I am very satisfied with this suitcase. It is strong, functional and meets all my expectations.",UK
316,"I am very satisfied with this suitcase. It is firm, functional and meets all my expectations.",UK
317,The construction of the product is deficient. I do not suggest it at all.,USA
318,"Although I don't like the color, it is very practical and I am happy with the practical.",Spain
319,"I thought it was good, but the finish is horrible. Do not not recommend it at all.",Spain
320,"I thought it was good, but the design is horrible. Do not propose it at all.",Germany
321,I have no strong feelings about this suitcase. It is just horrible.,Spain
322,I am not very satisfied with the suitcase. It is material but does not meet the cabin size requirements I need.,France
323,"It is a standard suitcase with fabrication. Nothing exceptional, but it gets the job done.",USA
324,"It is neither disastrous nor construction, just an average suitcase.",UK
325,"The suitcase is very firm, although a bit small. The wheels work perfectly and it is very manageable.",Italy
326,The construction of the product is deficient. I do not suggest it at all.,Italy
327,I have no strong feelings about this suitcase. It is just terrible.,Germany
328,"I thought it was good, but the finish is bad. Do not discourage it at all.",Spain
329,"I thought it was good, but the finish is deficient. Do not propose it at all.",Spain
330,I bought this suitcase and it spoiled quickly. The quality is really bad.,France
331,The suitcase is durable and very convenient. I would buy it again without hesitation.,Germany
332,"Although I don't like the color, it is very convenient and I am happy with the convenient.",France
333,The suitcase is solid and very functional. I would buy it again without hesitation.,Germany
334,"The suitcase is very resistant, although a bit small. The wheels work perfectly and it is very versatile.",Italy
335,It is very was fascinated by and durable for traveling. Without a doubt the functional I have made.,Spain
336,"Although I don't like the color, it is very versatile and I am happy with the versatile.",UK
337,The suitcase is average in terms of finish. It works as expected.,Germany
338,"I thought it was good, but the fabrication is bad. Do not advise it at all.",Italy
339,It is very loved and solid for traveling. Without a doubt the manageable I have made.,UK
340,"It is a standard suitcase with material. Nothing exceptional, but it gets the job done.",Italy
341,"It is neither horrible nor material, just an average suitcase.",USA
342,The suitcase is robust and very useful. I would buy it again without hesitation.,Germany
343,The design is deficient and it destroyed after a single use. Definitely do not advise it.,Germany
344,I bought this suitcase and it failed quickly. The quality is really horrible.,Italy
345,The design is deficient and it disassembled after a single use. Definitely do not advise it.,France
346,I have no strong feelings about this suitcase. It is just awful.,USA
347,"Although I don't like the color, it is very functional and I am happy with the functional.",France
348,The suitcase destroyed on the first use. The quality is very disastrous and I do not not recommend it at all.,UK
349,"The suitcase is very solid, although a bit small. The wheels work perfectly and it is very versatile.",Germany
350,The design is disastrous and it broke after a single use. Definitely do not suggest it.,UK
351,"It is a standard suitcase with material. Nothing exceptional, but it gets the job done.",UK
352,The suitcase is average in terms of fabrication. It works as expected.,Germany
353,"I thought it was good, but the material is horrible. Do not discourage it at all.",UK
354,"Although I don't like the color, it is very versatile and I am happy with the versatile.",France
355,"I am very satisfied with this suitcase. It is strong, convenient and meets all my expectations.",Spain
356,The suitcase broke on the first use. The quality is very awful and I do not discourage it at all.,France
357,"It is neither deficient nor fabrication, just an average suitcase.",UK
358,"Although I don't like the color, it is very convenient and I am happy with the convenient.",USA
359,I am not very satisfied with the suitcase. It is material but does not meet the cabin size requirements I need.,Italy
360,"I am very satisfied with this suitcase. It is solid, functional and meets all my expectations.",USA
361,"It is a standard suitcase with finish. Nothing exceptional, but it gets the job done.",UK
362,"The suitcase is very firm, although a bit small. The wheels work perfectly and it is very convenient.",UK
363,The suitcase is average in terms of material. It works as expected.,UK
364,The suitcase is strong and very convenient. I would buy it again without hesitation.,USA
365,"The design of this suitcase is acceptable. Not great, but not bad either.",Spain
366,"I am very satisfied with this suitcase. It is resistant, convenient and meets all my expectations.",USA
367,"I am very satisfied with this suitcase. It is strong, convenient and meets all my expectations.",Italy
368,I bought it for my son and he was pleased with. It is really functional and robust.,UK
369,"Although I don't like the color, it is very functional and I am happy with the functional.",Germany
370,"It is neither awful nor material, just an average suitcase.",UK
371,"The suitcase is very robust, although a bit small. The wheels work perfectly and it is very manageable.",UK
372,The material of the product is terrible. I do not suggest it at all.,UK
373,"I thought it was good, but the material is disastrous. Do not suggest it at all.",UK
374,"It is neither awful nor quality, just an average suitcase.",Spain
375,The design is awful and it spoiled after a single use. Definitely do not suggest it.,Italy
376,The suitcase is firm and very manageable. I would buy it again without hesitation.,Spain
377,"The finish of this suitcase is acceptable. Not great, but not bad either.",USA
378,It is very was pleased with and firm for traveling. Without a doubt the useful I have made.,Spain
379,The suitcase ruined on the first use. The construction is very horrible and I do not suggest it at all.,UK
380,"I thought it was good, but the fabrication is terrible. Do not propose it at all.",USA
381,"The design of this suitcase is acceptable. Not great, but not bad either.",France
382,I bought it for my son and he really liked. It is really practical and firm.,USA
383,It is very enjoyed and robust for traveling. Without a doubt the versatile I have made.,USA
384,The design is horrible and it failed after a single use. Definitely do not advise it.,UK
385,"Although I don't like the color, it is very useful and I am happy with the useful.",USA
386,The suitcase ruined on the first use. The construction is very bad and I do not not recommend it at all.,UK
387,The suitcase is average in terms of finish. It works as expected.,France
388,The design is horrible and it failed after a single use. Definitely do not advise it.,USA
389,The design is awful and it ruined after a single use. Definitely do not discourage it.,Italy
390,The suitcase destroyed on the first use. The construction is very disastrous and I do not propose it at all.,USA
391,The suitcase is solid and very versatile. I would buy it again without hesitation.,UK
392,"I am very satisfied with this suitcase. It is robust, useful and meets all my expectations.",UK
393,I bought this suitcase and it ruined quickly. The fabrication is really terrible.,UK
394,"Although I don't like the color, it is very convenient and I am happy with the convenient.",UK
395,The suitcase is average in terms of finish. It works as expected.,Spain
396,The finish of the product is deficient. I do not advise it at all.,USA
397,I bought it for my son and he loved. It is really useful and strong.,UK
398,"I am very satisfied with this suitcase. It is resistant, manageable and meets all my expectations.",France
399,"The suitcase is very strong, although a bit small. The wheels work perfectly and it is very useful.",Germany
400,The suitcase failed on the first use. The quality is very awful and I do not discourage it at all.,UK
401,"I am very satisfied with this suitcase. It is resistant, useful and meets all my expectations.",UK
402,"I thought it was good, but the material is deficient. Do not recommend it at all.",UK
403,"I thought it was good, but the design is horrible. Do not propose it at all.",Spain
404,The design is terrible and it disassembled after a single use. Definitely do not not recommend it.,Spain
405,I have no strong feelings about this suitcase. It is just terrible.,Germany
406,"Although I don't like the color, it is very manageable and I am happy with the manageable.",France
407,I have no strong feelings about this suitcase. It is just horrible.,UK
408,I bought it for my son and he loved. It is really convenient and strong.,Germany
409,"I thought it was good, but the construction is awful. Do not suggest it at all.",UK
410,I bought it for my son and he really liked. It is really practical and durable.,UK
411,I am not very satisfied with the suitcase. It is fabrication but does not meet the cabin size requirements I need.,USA
412,The fabrication of the product is awful. I do not advise it at all.,Italy
413,"I am very satisfied with this suitcase. It is solid, versatile and meets all my expectations.",USA
414,The construction of the product is bad. I do not not recommend it at all.,UK
415,"Although I don't like the color, it is very manageable and I am happy with the manageable.",Spain
416,The suitcase is average in terms of material. It works as expected.,Italy
417,"Although I don't like the color, it is very useful and I am happy with the useful.",UK
418,"Although I don't like the color, it is very functional and I am happy with the functional.",Germany
419,"The quality of this suitcase is acceptable. Not great, but not bad either.",UK
420,"Although I don't like the color, it is very useful and I am happy with the useful.",Germany
421,The suitcase is strong and very versatile. I would buy it again without hesitation.,Spain
422,The design is deficient and it failed after a single use. Definitely do not discourage it.,France
423,I have no strong feelings about this suitcase. It is just awful.,Italy
424,"I am very satisfied with this suitcase. It is solid, practical and meets all my expectations.",Germany
425,The suitcase is resistant and very functional. I would buy it again without hesitation.,Italy
